category,file,line
attribution,AISAM-BE/AISAM.API/Controllers/NotificationsController.cs,85
attribution,AISAM-BE/AISAM.API/Controllers/ProfileController.cs,76
attribution,AISAM-BE/AISAM.API/Controllers/ProfileController.cs,140
attribution,AISAM-BE/AISAM.API/Controllers/ProfileController.cs,165
attribution,AISAM-BE/AISAM.API/Controllers/ProfileController.cs,190
sensitive_projection,AISAM-BE/AISAM.API/Controllers/QuotaController.cs,14
sensitive_projection,AISAM-BE/AISAM.API/Controllers/QuotaController.cs,16
sensitive_projection,AISAM-BE/AISAM.API/Controllers/QuotaController.cs,18
sensitive_projection,AISAM-BE/AISAM.API/Controllers/QuotaController.cs,24
attribution,AISAM-BE/AISAM.API/Controllers/SocialAccountsController.cs,104
attribution,AISAM-BE/AISAM.API/Controllers/SocialAccountsController.cs,169
attribution,AISAM-BE/AISAM.API/Controllers/SocialAccountsController.cs,171
attribution,AISAM-BE/AISAM.API/Controllers/SocialAuthController.cs,32
attribution,AISAM-BE/AISAM.API/Controllers/SocialAuthController.cs,63
attribution,AISAM-BE/AISAM.API/Controllers/SocialAuthController.cs,92
attribution,AISAM-BE/AISAM.API/Controllers/SocialAuthController.cs,120
attribution,AISAM-BE/AISAM.API/Controllers/SocialAuthController.cs,151
attribution,AISAM-BE/AISAM.API/Controllers/SocialAuthController.cs,182
persistence,AISAM-BE/AISAM.API/Controllers/TeamsController.cs,42
persistence,AISAM-BE/AISAM.API/Controllers/TeamsController.cs,56
persistence,AISAM-BE/AISAM.API/Controllers/TeamsController.cs,69
persistence,AISAM-BE/AISAM.API/Controllers/TeamsController.cs,94
persistence,AISAM-BE/AISAM.API/Controllers/TeamsController.cs,99
persistence,AISAM-BE/AISAM.API/Controllers/TeamsController.cs,114
sensitive_projection,AISAM-BE/AISAM.API/Controllers/WorkspaceMemberController.cs,46
sensitive_projection,AISAM-BE/AISAM.API/Controllers/WorkspaceMemberController.cs,48
sensitive_projection,AISAM-BE/AISAM.API/Controllers/WorkspaceMemberController.cs,53
sensitive_projection,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,31
